iter	Passed	Remaining
217	788	2828
218	790	2819
219	792	2808
220	794	2799
221	796	2790
222	797	2780
223	799	2770
224	801	2761
225	803	2753
226	806	2744
227	808	2736
228	810	2730
229	812	2721
230	814	2712
231	816	2703
232	818	2695
233	820	2687
234	822	2678
235	824	2669
236	826	2662
237	828	2653
238	830	2645
239	832	2636
240	834	2628
241	836	2620
242	838	2611
243	840	2602
244	842	2595
245	844	2587
246	845	2578
247	847	2570
248	849	2562
249	851	2555
250	853	2547
251	855	2539
252	857	2531
253	859	2525
254	861	2517
255	863	2508
256	865	2501
257	867	2494
258	869	2486
259	870	2478
260	873	2473
261	876	2468
262	878	2460
263	880	2453
264	882	2447
265	884	2439
266	886	2433
267	888	2425
268	890	2419
269	892	2413
270	894	2405
271	896	2399
272	898	2393
273	900	2386
274	902	2379
275	904	2373
276	907	2368
277	909	2362
278	912	2357
279	914	2351
280	916	2345
281	918	2339
282	921	2334
283	923	2327
284	925	2321
285	927	2315
286	929	2309
287	931	2302
288	933	2296
289	935	2289
290	937	2284
291	939	2278
292	941	2271
293	943	2264
294	945	2259
295	947	2253
296	949	2247
297	951	2241
298	954	2237
299	957	2234
300	961	2232
301	964	2229
302	968	2226
303	971	2223
304	973	2219
305	977	2217
306	980	2213
307	982	2207
308	986	2205
309	989	2201
310	993	2201
311	996	2197
312	1001	2197
313	1004	2195
314	1009	2194
315	1013	2194
316	1018	2194
317	1020	2189
318	1024	2188
319	1028	2185
320	1033	2185
321	1036	2181
322	1040	2181
323	1044	2179
324	1048	2178
325	1053	2177
326	1057	2176
327	1061	2174
328	1066	2174
329	1068	2170
330	1073	2169
331	1076	2166
332	1082	2167
333	1085	2164
334	1090	2164
335	1093	2160
336	1097	2158
337	1098	2152
338	1102	2150
339	1105	2145
340	1109	2144
341	1112	2140
342	1117	2140
343	1121	2138
344	1125	2136
345	1129	2135
346	1134	2134
347	1136	2129
348	1140	2127
349	1145	2126
350	1151	2129
351	1156	2129
352	1160	2126
353	1164	2125
354	1167	2121
355	1169	2116
356	1173	2114
357	1176	2109
358	1180	2107
359	1183	2103
360	1186	2100
361	1190	2098
362	1194	2095
363	1196	2091
364	1199	2086
365	1203	2084
366	1205	2079
367	1207	2073
368	1210	2069
369	1212	2064
370	1214	2058
371	1216	2053
372	1219	2049
373	1221	2044
374	1223	2038
375	1225	2034
376	1227	2028
377	1229	2023
378	1232	2018
379	1234	2013
380	1236	2008
381	1238	2003
382	1240	1998
383	1242	1993
384	1244	1987
385	1246	1982
386	1248	1977
387	1250	1972
388	1252	1967
389	1254	1961
390	1256	1956
391	1258	1951
392	1260	1946
393	1261	1941
394	1264	1936
395	1266	1931
396	1267	1925
397	1269	1920
398	1272	1916
399	1273	1910
400	1275	1905
401	1277	1900
402	1280	1896
403	1282	1891
404	1284	1886
405	1285	1881
406	1288	1877
407	1290	1872
408	1292	1868
409	1295	1863
410	1297	1859
411	1299	1854
412	1300	1848
413	1303	1844
414	1305	1840
415	1307	1835
416	1309	1830
417	1311	1826
418	1313	1821
419	1315	1816
420	1317	1811
421	1319	1806
422	1321	1802
423	1322	1797
424	1324	1792
425	1327	1788
426	1329	1784
427	1331	1779
428	1333	1774
429	1335	1770
430	1337	1765
431	1339	1760
432	1341	1756
433	1343	1751
434	1345	1746
435	1346	1742
436	1348	1737
